Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Salesperson,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Sales_Channel
ORD-107541,2025-01-01,CUST-3098,Customer 3098,North,Haryana,Panipat,Salesperson 8,Electronics,Monitor,Monitor Pro,2,18990,0.05,36081.0,28897.65,7183.35,Net Banking,Retail Store
ORD-101518,2025-01-01,CUST-5439,Customer 5439,South,Tamil Nadu,Chennai,Salesperson 11,Home Appliances,Refrigerator,Refrigerator Pro,2,35900,0.1,64620.0,52136.04,12483.96,Credit Card,Retail Store
ORD-105436,2025-01-01,CUST-2623,Customer 2623,North,Haryana,Panipat,Salesperson 14,Office Supplies,Stationery,Stationery Pro,1,210,0.1,189.0,136.43,52.57,Debit Card,Retail Store
ORD-101725,2025-01-01,CUST-2315,Customer 2315,East,Odisha,Bhubaneswar,Salesperson 20,Office Supplies,Stationery,Stationery Pro,1,620,0.0,620.0,405.19,214.81,Debit Card,Online
ORD-105434,2025-01-01,CUST-4655,Customer 4655,North,Delhi,New Delhi,Salesperson 18,Electronics,Laptop,Laptop Pro,2,84530,0.1,152154.0,129292.77,22861.23,Debit Card,Online
ORD-109149,2025-01-01,CUST-3098,Customer 3098,North,Uttar Pradesh,Lucknow,Salesperson 14,Furniture,Desk,Desk Pro,1,7490,0.1,6741.0,5178.6,1562.4,UPI,Retail Store
ORD-109601,2025-01-01,CUST-3930,Customer 3930,North,Haryana,Panipat,Salesperson 9,Electronics,Laptop,Laptop Pro,1,82350,0.05,78232.5,60662.06,17570.44,Credit Card,Retail Store
ORD-109592,2025-01-01,CUST-4382,Customer 4382,East,Bihar,Bhagalpur,Salesperson 10,Electronics,Smartphone,Smartphone Pro,2,33200,0.1,59760.0,49283.29,10476.71,Debit Card,Online
ORD-109571,2025-01-01,CUST-2109,Customer 2109,South,Karnataka,Mangaluru,Salesperson 5,Furniture,Desk,Desk Pro,1,16540,0.0,16540.0,12582.2,3957.8,Cash,Online
ORD-108785,2025-01-01,CUST-3376,Customer 3376,North,Punjab,Amritsar,Salesperson 6,Office Supplies,Paper,Paper Pro,3,410,0.1,1107.0,785.86,321.14,UPI,Retail Store
ORD-109555,2025-01-01,CUST-1510,Customer 1510,West,Gujarat,Vadodara,Salesperson 9,Office Supplies,Paper,Paper Pro,2,510,0.05,969.0,686.84,282.16,Credit Card,Online
ORD-102038,2025-01-01,CUST-2468,Customer 2468,North,Punjab,Amritsar,Salesperson 6,Electronics,Smartphone,Smartphone Pro,2,53340,0.05,101346.0,82711.14,18634.86,Credit Card,Retail Store
ORD-113126,2025-01-01,CUST-5269,Customer 5269,North,Uttar Pradesh,Noida,Salesperson 19,Electronics,Laptop,Laptop Pro,2,69370,0.05,131803.0,103910.92,27892.08,UPI,Online
ORD-111274,2025-01-01,CUST-4082,Customer 4082,East,West Bengal,Siliguri,Salesperson 20,Electronics,Smartphone,Smartphone Pro,1,39870,0.1,35883.0,29439.99,6443.01,Debit Card,Online
ORD-113171,2025-01-01,CUST-4613,Customer 4613,West,Gujarat,Vadodara,Salesperson 11,Office Supplies,Printer,Printer Pro,1,17790,0.15,15121.5,10357.8,4763.7,Net Banking,Online
ORD-103684,2025-01-01,CUST-4252,Customer 4252,North,Haryana,Faridabad,Salesperson 12,Electronics,Tablet,Tablet Pro,2,23200,0.05,44080.0,37001.55,7078.45,Debit Card,Online
ORD-109431,2025-01-01,CUST-3359,Customer 3359,South,Karnataka,Mysuru,Salesperson 7,Home Appliances,Air Conditioner,Air Conditioner Pro,1,56320,0.15,47872.0,41031.94,6840.06,UPI,Distributor
ORD-102254,2025-01-01,CUST-3279,Customer 3279,North,Punjab,Amritsar,Salesperson 18,Home Appliances,Air Conditioner,Air Conditioner Pro,1,63370,0.15,53864.5,46366.37,7498.13,Credit Card,Online
ORD-108423,2025-01-01,CUST-4853,Customer 4853,West,Goa,Panaji,Salesperson 6,Electronics,Monitor,Monitor Pro,2,15570,0.1,28026.0,21871.92,6154.08,UPI,Online
ORD-103869,2025-01-01,CUST-5293,Customer 5293,East,Odisha,Cuttack,Salesperson 17,Office Supplies,Stationery,Stationery Pro,1,830,0.05,788.5,547.5,241.0,UPI,Online
ORD-104535,2025-01-01,CUST-2016,Customer 2016,West,Rajasthan,Udaipur,Salesperson 6,Office Supplies,Paper,Paper Pro,1,610,0.0,610.0,422.3,187.7,UPI,Online
ORD-113369,2025-01-01,CUST-4788,Customer 4788,North,Uttar Pradesh,Kanpur,Salesperson 5,Home Appliances,Air Conditioner,Air Conditioner Pro,1,57430,0.15,48815.5,40466.72,8348.78,Net Banking,Online
ORD-113386,2025-01-01,CUST-5223,Customer 5223,South,Kerala,Kozhikode,Salesperson 8,Furniture,Office Chair,Office Chair Pro,1,7750,0.05,7362.5,5295.92,2066.58,UPI,Retail Store
ORD-104182,2025-01-01,CUST-2460,Customer 2460,North,Punjab,Ludhiana,Salesperson 7,Office Supplies,Stationery,Stationery Pro,3,1110,0.15,2830.5,1899.35,931.15,Debit Card,Online
ORD-101515,2025-01-01,CUST-2271,Customer 2271,East,Odisha,Cuttack,Salesperson 2,Electronics,Monitor,Monitor Pro,4,14120,0.1,50832.0,41038.16,9793.84,Credit Card,Online
